isoelectric_point,molecular_weight_da,product_conc_mg_ml,ph,kcl_conc,ps50_conc,llysine_conc,ps80_conc,mannitol_conc,citrate_conc,succinate_conc,fructose_conc,tm_c,protein_format_doppelmab,protein_format_igg3,protein_format_igg4,protein_format_knob_hole,protein_format_nano_mb
6.3024,384763.02,345.6,5.0,67.5,0.4,67.5,0.0,0.0,15.0,0.0,0.0,154.423741554208,0.0,1.0,0.0,0.0,0.0
6.008475652173914,386148.75,172.8,5.0,0.0,0.4,67.5,0.0,0.0,0.0,15.0,135.0,156.76648,0.0,1.0,0.0,0.0,0.0
5.772,421360.71,34.56,6.0,0.0,0.0,0.0,0.4,135.0,15.0,0.0,135.0,156.52087999999998,0.0,0.0,0.0,1.0,0.0
6.3024,384763.02,345.6,6.0,0.0,0.4,0.0,0.0,135.0,15.0,0.0,135.0,171.11945108405598,0.0,1.0,0.0,0.0,0.0
5.7642,241517.52,414.72,4.5,0.0,0.0,67.5,0.4,135.0,0.0,15.0,0.0,153.835653334152,0.0,0.0,0.0,0.0,1.0
6.411600000000001,404683.89,103.68,4.5,0.0,0.4,67.5,0.0,135.0,0.0,15.0,0.0,160.6224,0.0,0.0,1.0,0.0,0.0
5.772,421360.71,172.8,5.5,0.0,0.0,135.0,0.4,0.0,0.0,15.0,0.0,148.75992,0.0,0.0,0.0,1.0,0.0
6.008475652173914,386148.75,345.6,5.0,0.0,0.4,0.0,0.0,135.0,0.0,15.0,135.0,161.2364,0.0,1.0,0.0,0.0,0.0
6.411600000000001,404683.89,34.56,5.0,0.0,0.4,135.0,0.0,0.0,15.0,0.0,0.0,159.05056000000002,0.0,0.0,1.0,0.0,0.0
5.9124,272510.88,103.68,6.0,0.0,0.4,67.5,0.0,0.0,15.0,0.0,135.0,149.6225309332,0.0,0.0,0.0,1.0,0.0
5.7642,241517.52,293.76,6.0,0.0,0.0,67.5,0.4,0.0,15.0,0.0,135.0,159.71368,0.0,0.0,0.0,0.0,1.0
6.411600000000001,404683.89,34.56,5.5,0.0,0.4,67.5,0.0,0.0,0.0,15.0,135.0,169.382133334152,0.0,0.0,1.0,0.0,0.0
6.162000000000001,391603.56,172.8,7.0,0.0,0.4,0.0,0.0,135.0,15.0,0.0,135.0,167.678621852,0.0,1.0,0.0,0.0,0.0
6.162000000000001,391603.56,172.8,6.0,0.0,0.4,67.5,0.0,0.0,15.0,0.0,135.0,160.38907877199998,0.0,1.0,0.0,0.0,0.0
5.499,389595.72,345.6,5.5,0.0,0.4,0.0,0.0,270.0,0.0,15.0,0.0,170.7675501212,0.0,1.0,0.0,0.0,0.0
5.8422,388669.23,518.4,4.5,0.0,0.4,135.0,0.0,0.0,0.0,15.0,0.0,163.119333334152,0.0,1.0,0.0,0.0,0.0
5.982600000000001,386626.68,345.6,4.5,67.5,0.4,67.5,0.0,0.0,0.0,15.0,0.0,147.53885223192,0.0,1.0,0.0,0.0,0.0
